,Company Id,PROs Culture & Values mean,PROs Work/Life Balance mean,PROs Senior Management mean,PROs Comp & Benefits mean,PROs Career Opportunities mean,CONs Culture & Values mean,CONs Work/Life Balance mean,CONs Senior Management mean,CONs Comp & Benefits mean,CONs Career Opportunities mean,PROs Culture & Values count,PROs Work/Life Balance count,PROs Senior Management count,PROs Comp & Benefits count,PROs Career Opportunities count,CONs Culture & Values count,CONs Work/Life Balance count,CONs Senior Management count,CONs Comp & Benefits count,CONs Career Opportunities count
70,119,0.5520375375375378,0.5045100386100382,0.4557346938775507,0.5258343108504399,0.49087638376383724,0.00714243614931238,-0.08174225352112673,-0.04321683168316831,0.013345627376425856,0.04993507462686569,333.0,259.0,147.0,341.0,271.0,509.0,142.0,303.0,263.0,268.0
71,121,0.5057634615384613,0.3712282608695653,0.4286365384615385,0.520945925925926,0.5783307692307694,0.03191276595744681,-0.040088888888888875,-0.05598250000000002,0.025264814814814827,0.07738311688311687,104.0,46.0,52.0,135.0,65.0,188.0,27.0,120.0,54.0,77.0
72,122,0.6117774193548388,0.36215,0.5364285714285714,0.5832846153846154,0.3164266666666667,-0.07861224489795918,-0.10791666666666666,-0.14956829268292682,0.04831935483870968,0.09225263157894736,31.0,10.0,14.0,13.0,15.0,49.0,12.0,41.0,31.0,19.0
73,124,0.4984236842105261,0.3823615384615385,0.4451974358974359,0.5520571428571426,0.49523297872340416,-0.07999954545454549,-0.07849365079365077,-0.15014085365853663,-0.010808860759493676,-0.05660283018867923,114.0,26.0,39.0,294.0,94.0,220.0,126.0,164.0,79.0,106.0
74,125,0.4756500000000001,0.21989999999999998,0.41636249999999997,0.4549090909090909,0.45186666666666664,-0.2030107142857143,0.38915,-0.2102166666666667,0.13365000000000002,0.46271666666666667,14.0,3.0,8.0,11.0,6.0,28.0,2.0,12.0,6.0,6.0
75,126,0.58045,0.4059833333333333,0.46827499999999994,0.6466411764705882,0.60572,0.15961428571428574,0.008950000000000014,-0.04181666666666669,0.04498,-0.06209411764705884,28.0,6.0,4.0,17.0,10.0,21.0,2.0,12.0,5.0,17.0
76,129,0.572866346153846,0.4825170731707316,0.45595714285714284,0.5502402597402594,0.5215461538461539,0.03950521739130434,-0.07573478260869564,-0.04715000000000002,0.1900952380952381,0.05415072463768115,104.0,41.0,21.0,77.0,39.0,115.0,23.0,66.0,21.0,69.0
77,132,0.5652083333333333,0.6225857142857143,0.710775,0.5829142857142857,0.6953,0.0661809523809524,0.007499999999999993,0.05368888888888891,0.128,0.24821111111111113,12.0,7.0,4.0,14.0,2.0,21.0,4.0,9.0,1.0,9.0
78,133,0.5064272727272727,0.3928666666666667,0.4523727272727273,0.4424035714285714,0.5216384615384616,-0.11615,-0.060794736842105256,-0.217040625,0.40421666666666667,-0.3563222222222222,22.0,3.0,11.0,28.0,13.0,54.0,19.0,32.0,6.0,9.0
79,137,0.5283938941655367,0.46959773584905606,0.4745588235294114,0.5297411174785104,0.5203583783783787,0.005741648590021697,-0.05443874999999998,-0.02573488372093019,0.06587000000000005,0.08518282208588956,737.0,265.0,187.0,698.0,555.0,922.0,160.0,516.0,230.0,489.0
