,Ticker Symbol,Ticker Sector,Ticker Industry,Company Id,Company URL,company_name,count
2983,xetra:sax,Consumer Services,Mobile Telecommunications,930530,"https://www.glassdoor.com/Overview/Working-at-Str%C3%B6er-Group-EI_IE930530.11,23.htm",Str%C3%B6er Group,14
2984,asx:amp,Financials,Life Insurance,7921,"https://www.glassdoor.com/Overview/Working-at-AMP-Limited-EI_IE7921.11,22.htm",AMP Limited,77
2985,bpse:mtelekom,,,7423,"https://www.glassdoor.com/Overview/Working-at-Magyar-Telekom-EI_IE7423.11,25.htm",Magyar Telekom,39
2986,nyse:gd,Industrials,Aerospace & Defense,11116,"https://www.glassdoor.com/Overview/Working-at-SRA-International-EI_IE11116.11,28.htm",SRA International,244
2987,nasdaq:bmrn,Health Care,Pharmaceuticals & Biotechnology,9303,"https://www.glassdoor.com/Overview/Working-at-BioMarin-Pharmaceutical-EI_IE9303.11,34.htm",BioMarin Pharmaceutical,80
2988,nasdaq:brkr,Health Care,Health Care Equipment & Services,18125,"https://www.glassdoor.com/Overview/Working-at-Bruker-EI_IE18125.11,17.htm",Bruker,47
2989,nasdaq:cobz,Financials,Banks,8044,"https://www.glassdoor.com/Overview/Working-at-CoBiz-Financial-EI_IE8044.11,26.htm",CoBiz Financial,10
2990,nasdaq:frgi,Consumer Services,Travel & Leisure,2464,"https://www.glassdoor.com/Overview/Working-at-Pollo-Tropical-EI_IE2464.11,25.htm",Pollo Tropical,62
2991,nasdaq:mlnk,Industrials,Support Services,2507,"https://www.glassdoor.com/Overview/Working-at-ModusLink-EI_IE2507.11,20.htm",ModusLink,44
2992,nasdaq:tree,Financials,Financial Services,11154,"https://www.glassdoor.com/Overview/Working-at-LendingTree-EI_IE11154.11,22.htm",LendingTree,53
2993,nyse:aem,Basic Materials,Mining,6853,"https://www.glassdoor.com/Overview/Working-at-Agnico-Eagle-EI_IE6853.11,23.htm",Agnico Eagle,4
2994,nyse:chu,Telecommunications,Mobile Telecommunications,9096,"https://www.glassdoor.com/Overview/Working-at-China-Unicom-EI_IE9096.11,23.htm",China Unicom,32
2995,nyse:gps,Consumer Services,General Retailers,20311,"https://www.glassdoor.com/Overview/Working-at-Athleta-EI_IE20311.11,18.htm",Athleta,61
2996,nyse:im,Technology,Technology Hardware & Equipment,642600,"https://www.glassdoor.com/Overview/Working-at-Aptec-Ingram-Micro-EI_IE642600.11,29.htm",Aptec Ingram Micro,10
